Time (s),Depth (cm)
52.3506,0.27
52.413,0.0
52.5298,0.16
52.5831,0.8
52.6422,1.62
52.6958,3.08
52.7524,3.19
52.8072,2.29
52.8643,0.89
52.9283,0.23
52.9836,0.08
53.1488,0.8
53.2061,1.76
53.2596,3.54
53.3683,3.03
53.4246,1.33
53.4797,0.7
53.5358,0.05
53.6987,0.48
53.7548,1.8
53.824,3.79
53.8811,3.88
53.9345,3.63
53.9961,1.53
54.0495,0.77
54.1108,0.12
54.2795,0.84
54.3426,1.84
54.3958,3.77
54.511,2.94
54.5717,1.25
54.6254,0.3
54.7043,0.09
54.8152,0.15
54.8693,0.91
54.9236,2.19
54.9771,4.39
55.0875,2.92
55.1421,1.23
55.1959,0.68
55.2525,0.08
55.4158,0.73
55.4701,1.64
55.5238,3.81
55.6649,2.18
55.7253,1.0
55.7785,0.59
55.8403,0.05
55.9549,0.32
56.0085,1.14
56.0631,2.67
56.1164,4.01
56.2317,2.26
56.2937,1.01
56.3479,0.65
56.4092,0.08
56.5419,0.7
56.5981,1.99
56.655,5.06
56.7087,5.11
56.7631,3.89
56.8171,1.53
56.8717,0.8
56.9253,0.17
56.9831,0.03
57.0982,0.47
57.1515,1.44
57.2121,3.87
57.2658,4.55
57.3274,3.49
57.3966,1.37
57.451,0.73
57.5048,0.08
57.6688,0.56
57.7224,1.58
57.7767,4.07
57.8307,4.72
57.8876,4.03
57.9413,1.71
57.9959,0.82
58.0498,0.13
58.1066,0.08
58.2227,0.69
58.2969,2.38
58.354,4.98
58.4073,5.08
58.4693,3.48
58.5228,1.29
58.5845,0.69
58.6378,0.06
58.8171,0.81
58.8705,2.41
58.9323,4.43
58.986,4.55
59.0493,2.57
59.1028,0.78
59.1913,0.12
59.3556,0.46
59.4101,1.3
59.4635,3.07
59.5205,3.92
59.574,3.98
59.6285,2.03
59.6826,0.91
59.7388,0.52
59.7924,0.1
59.9125,0.65
59.9757,2.13
